fractal_pasta;fractal_detectado;ativo;arquivo;caminho;linhas;data_inicio;data_fim;colunas;status;observacao
10_SEMANAL;SEMANAL;WDO;WDO_SEMANAL_2011_2013.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\10_SEMANAL\wdo\WDO_SEMANAL_2011_2013.csv;104;03/01/2011;26/12/2012;8;OK;
10_SEMANAL;SEMANAL;WDO;WDO_SEMANAL_2013_2015.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\10_SEMANAL\wdo\WDO_SEMANAL_2013_2015.csv;105;02/01/2013;29/12/2014;8;OK;
10_SEMANAL;SEMANAL;WDO;WDO_SEMANAL_2015_2017.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\10_SEMANAL\wdo\WDO_SEMANAL_2015_2017.csv;104;05/01/2015;26/12/2016;8;OK;
10_SEMANAL;SEMANAL;WDO;WDO_SEMANAL_2017_2019.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\10_SEMANAL\wdo\WDO_SEMANAL_2017_2019.csv;104;02/01/2017;26/12/2018;8;OK;
10_SEMANAL;SEMANAL;WDO;WDO_SEMANAL_2019_2020.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\10_SEMANAL\wdo\WDO_SEMANAL_2019_2020.csv;53;02/01/2019;30/12/2019;8;OK;
10_SEMANAL;SEMANAL;WDO;WDO_SEMANAL_2020_2022.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\10_SEMANAL\wdo\WDO_SEMANAL_2020_2022.csv;104;06/01/2020;27/12/2021;8;OK;
10_SEMANAL;SEMANAL;WDO;WDO_SEMANAL_2024_2026.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\10_SEMANAL\wdo\WDO_SEMANAL_2024_2026.csv;105;02/01/2024;29/12/2025;8;OK;
10_SEMANAL;SEMANAL;WDO;WDO_SEMANAL_2026_2026.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\10_SEMANAL\wdo\WDO_SEMANAL_2026_2026.csv;22;05/01/2026;01/06/2026;8;OK;
10_SEMANAL;SEMANAL;WIN;WIN_Semanal_2005_2007.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\10_SEMANAL\win\WIN_Semanal_2005_2007.csv;85;17/05/2005;26/12/2006;8;OK;
10_SEMANAL;SEMANAL;WIN;WIN_SEMANAL_2007_2009.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\10_SEMANAL\win\WIN_SEMANAL_2007_2009.csv;105;02/01/2007;29/12/2008;8;OK;
10_SEMANAL;SEMANAL;WIN;WIN_SEMANAL_2009_2011.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\10_SEMANAL\win\WIN_SEMANAL_2009_2011.csv;104;05/01/2009;27/12/2010;8;OK;
10_SEMANAL;SEMANAL;WIN;WIN_SEMANAL_2011_2013.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\10_SEMANAL\win\WIN_SEMANAL_2011_2013.csv;104;03/01/2011;26/12/2012;8;OK;
10_SEMANAL;SEMANAL;WIN;WIN_SEMANAL_2013_2015.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\10_SEMANAL\win\WIN_SEMANAL_2013_2015.csv;105;02/01/2013;29/12/2014;8;OK;
10_SEMANAL;SEMANAL;WIN;WIN_SEMANAL_2015_2017.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\10_SEMANAL\win\WIN_SEMANAL_2015_2017.csv;104;05/01/2015;26/12/2016;8;OK;
10_SEMANAL;SEMANAL;WIN;WIN_SEMANAL_2017_2019.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\10_SEMANAL\win\WIN_SEMANAL_2017_2019.csv;104;02/01/2017;26/12/2018;8;OK;
10_SEMANAL;SEMANAL;WIN;WIN_SEMANAL_2018_2020.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\10_SEMANAL\win\WIN_SEMANAL_2018_2020.csv;53;02/01/2019;30/12/2019;8;OK;
10_SEMANAL;SEMANAL;WIN;WIN_SEMANAL_2020_2022.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\10_SEMANAL\win\WIN_SEMANAL_2020_2022.csv;104;06/01/2020;27/12/2021;8;OK;
10_SEMANAL;SEMANAL;WIN;WIN_SEMANAL_2022_2024.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\10_SEMANAL\win\WIN_SEMANAL_2022_2024.csv;104;03/01/2022;26/12/2023;8;OK;
10_SEMANAL;SEMANAL;WIN;WIN_SEMANAL_2024_2026.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\10_SEMANAL\win\WIN_SEMANAL_2024_2026.csv;105;02/01/2024;29/12/2025;8;OK;
10_SEMANAL;SEMANAL;WIN;WIN_SEMANAL_2026_2026.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\10_SEMANAL\win\WIN_SEMANAL_2026_2026.csv;22;05/01/2026;01/06/2026;8;OK;
11_MENSAL;MENSAL;WDO;WDOFUT_F_0_Semanal.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\11_MENSAL\WDOFUT_F_0_Semanal.csv;85;17/05/2005;26/12/2006;8;OK;
11_MENSAL;MENSAL;WIN;WINFUT_F_0_Semanal.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\11_MENSAL\WINFUT_F_0_Semanal.csv;85;17/05/2005;26/12/2006;8;OK;
