origem;tipo_origem;destino;tipo_destino;relacao;peso;detalhe
WDO_60min_2024_2026.csv;ARQUIVO;PROFIT;ORIGEM;GERADO_POR;0.75;Arquivo possui origem catalogada
WDO_60min_2026_2026.csv;ARQUIVO;WDO;ATIVO;PERTENCE_A;0.9;Arquivo pertence ao ativo
WDO_60min_2026_2026.csv;ARQUIVO;60_MIN;FRACTAL;USA_ESCALA_TEMPORAL;0.85;Arquivo pertence ao fractal
WDO_60min_2026_2026.csv;ARQUIVO;PROFIT;ORIGEM;GERADO_POR;0.75;Arquivo possui origem catalogada
WIN_60min_2012_2014.csv;ARQUIVO;WIN;ATIVO;PERTENCE_A;0.9;Arquivo pertence ao ativo
WIN_60min_2012_2014.csv;ARQUIVO;60_MIN;FRACTAL;USA_ESCALA_TEMPORAL;0.85;Arquivo pertence ao fractal
WIN_60min_2012_2014.csv;ARQUIVO;PROFIT;ORIGEM;GERADO_POR;0.75;Arquivo possui origem catalogada
WIN_60min_2014_2016.csv;ARQUIVO;WIN;ATIVO;PERTENCE_A;0.9;Arquivo pertence ao ativo
WIN_60min_2014_2016.csv;ARQUIVO;60_MIN;FRACTAL;USA_ESCALA_TEMPORAL;0.85;Arquivo pertence ao fractal
WIN_60min_2014_2016.csv;ARQUIVO;PROFIT;ORIGEM;GERADO_POR;0.75;Arquivo possui origem catalogada
WIN_60min_2016_2018.csv;ARQUIVO;WIN;ATIVO;PERTENCE_A;0.9;Arquivo pertence ao ativo
WIN_60min_2016_2018.csv;ARQUIVO;60_MIN;FRACTAL;USA_ESCALA_TEMPORAL;0.85;Arquivo pertence ao fractal
WIN_60min_2016_2018.csv;ARQUIVO;PROFIT;ORIGEM;GERADO_POR;0.75;Arquivo possui origem catalogada
WIN_60min_2018_2020.csv;ARQUIVO;WIN;ATIVO;PERTENCE_A;0.9;Arquivo pertence ao ativo
WIN_60min_2018_2020.csv;ARQUIVO;60_MIN;FRACTAL;USA_ESCALA_TEMPORAL;0.85;Arquivo pertence ao fractal
WIN_60min_2018_2020.csv;ARQUIVO;PROFIT;ORIGEM;GERADO_POR;0.75;Arquivo possui origem catalogada
WIN_60min_2020_2022.csv;ARQUIVO;WIN;ATIVO;PERTENCE_A;0.9;Arquivo pertence ao ativo
WIN_60min_2020_2022.csv;ARQUIVO;60_MIN;FRACTAL;USA_ESCALA_TEMPORAL;0.85;Arquivo pertence ao fractal
WIN_60min_2020_2022.csv;ARQUIVO;PROFIT;ORIGEM;GERADO_POR;0.75;Arquivo possui origem catalogada
WIN_60min_2022_2024.csv;ARQUIVO;WIN;ATIVO;PERTENCE_A;0.9;Arquivo pertence ao ativo
WIN_60min_2022_2024.csv;ARQUIVO;60_MIN;FRACTAL;USA_ESCALA_TEMPORAL;0.85;Arquivo pertence ao fractal
WIN_60min_2022_2024.csv;ARQUIVO;PROFIT;ORIGEM;GERADO_POR;0.75;Arquivo possui origem catalogada
WIN_60min_2024_2026.csv;ARQUIVO;WIN;ATIVO;PERTENCE_A;0.9;Arquivo pertence ao ativo
WIN_60min_2024_2026.csv;ARQUIVO;60_MIN;FRACTAL;USA_ESCALA_TEMPORAL;0.85;Arquivo pertence ao fractal
WIN_60min_2024_2026.csv;ARQUIVO;PROFIT;ORIGEM;GERADO_POR;0.75;Arquivo possui origem catalogada
WIN_60min_2026_2026 (2).csv;ARQUIVO;WIN;ATIVO;PERTENCE_A;0.9;Arquivo pertence ao ativo
WIN_60min_2026_2026 (2).csv;ARQUIVO;60_MIN;FRACTAL;USA_ESCALA_TEMPORAL;0.85;Arquivo pertence ao fractal
WIN_60min_2026_2026 (2).csv;ARQUIVO;PROFIT;ORIGEM;GERADO_POR;0.75;Arquivo possui origem catalogada
WIN_60min_2026_2026.csv;ARQUIVO;WIN;ATIVO;PERTENCE_A;0.9;Arquivo pertence ao ativo
WIN_60min_2026_2026.csv;ARQUIVO;60_MIN;FRACTAL;USA_ESCALA_TEMPORAL;0.85;Arquivo pertence ao fractal
WIN_60min_2026_2026.csv;ARQUIVO;PROFIT;ORIGEM;GERADO_POR;0.75;Arquivo possui origem catalogada
WIN_90min_2026_2026.csv;ARQUIVO;WIN;ATIVO;PERTENCE_A;0.9;Arquivo pertence ao ativo
WIN_90min_2026_2026.csv;ARQUIVO;90_MIN;FRACTAL;USA_ESCALA_TEMPORAL;0.85;Arquivo pertence ao fractal
WIN_90min_2026_2026.csv;ARQUIVO;ZE_DO_EUCRAZIO;ORIGEM;GERADO_POR;0.75;Arquivo possui origem catalogada
WDO_DIARIO_2005_2006.csv;ARQUIVO;WDO;ATIVO;PERTENCE_A;0.9;Arquivo pertence ao ativo
WDO_DIARIO_2005_2006.csv;ARQUIVO;DIARIO;FRACTAL;USA_ESCALA_TEMPORAL;0.85;Arquivo pertence ao fractal
WDO_DIARIO_2005_2006.csv;ARQUIVO;ZE_DO_EUCRAZIO;ORIGEM;GERADO_POR;0.75;Arquivo possui origem catalogada
WDO_DIARIO_2007_2008.csv;ARQUIVO;WDO;ATIVO;PERTENCE_A;0.9;Arquivo pertence ao ativo
